filename,titre,f0 theorique,f1,f2,f3,f4,f5,f6,f7
timbale-aigu-1.wav,Timbale Aigu 3R/4,125,188,249,269,309,307,2000
timbale-aigu-2.wav,Timbale Aigu R/2,125,188,249,269,309,307,2000
timbale-aigu-3.wav,Timbale Aigu R/4,125,188,249,269,309,307,2000
timbale-aigu-4.wav,Timbale Aigu 0,125,188,249,269,309,307,2000
timbale-grave-1.wav,Timbale Grave 1/4,66,95,200,2000
timbale-grave-2.wav,Timbale Grave 1/2,66,95,200,2000
timbale-grave-3.wav,Timbale Grave 3/4,66,95,200,2000
timbale-grave-4.wav,Timbale Grave 0,66,95,200,2000
timbale-miaigu-1.wav,Timbale Mi-Aigu 1/4,110,164,215,232,243,270,2000
timbale-miaigu-2.wav,Timbale Mi-Aigu 1/2,110,164,215,232,243,270,2000
timbale-miaigu-3.wav,Timbale Mi-Aigu 3/4,110,164,215,232,243,270,2000
timbale-miaigu-4.wav,Timbale Mi-Aigu 0,110,164,215,232,243,270,2000
timbale-migrave-1.wav,Timbale Mi-Grave 1/4,91,135,177,191,197,2000
timbale-migrave-2.wav,Timbale Mi-Grave 1/2,91,135,177,191,197,2000
timbale-migrave-3.wav,Timbale Mi-Grave 3/4,91,135,177,191,197,2000
timbale-migrave-4.wav,Timbale Mi-Grave 0,91,135,177,191,197,2000
timbale-hard.wav,Timbale baguette dure,106,158,208,225,234,2000
timbale-soft.wav,Timbale baguette douce,106,158,208,225,234,2000
